ID,title,descr,author_ID,genre_ID,stock,price,currency_code,createdAt,createdBy,modifiedAt,modifiedBy
16068795-b4c1-4aa4-ab4d-7a564b2eff10,title-16068795,descr-16068795,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,14,67.17,607,2005-01-06T22:00:00.000Z,createdBy.9kerf@example.com,2011-01-05T22:00:00.000Z,modifiedBy.9kerf@example.net
16068796-88b3-4dcb-b7b7-38d463395a7c,title-16068796,descr-16068796,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,19,16.89,607,2011-09-09T22:00:00.000Z,createdBy.9kerg@example.com,2017-05-24T22:00:00.000Z,modifiedBy.9kerg@example.org
16068797-e6bc-4109-9dc8-513c9848842b,title-16068797,descr-16068797,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,12,82.64,607,2006-10-18T22:00:00.000Z,createdBy.9kerh@example.com,2020-05-17T22:00:00.000Z,modifiedBy.9kerh@example.com
16068798-6ac5-452b-ab5b-9f42abba0fe3,title-16068798,descr-16068798,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,98,25.21,607,2002-03-16T22:00:00.000Z,createdBy.9keri@example.net,2002-07-09T22:00:00.000Z,modifiedBy.9keri@example.net
16068799-6b12-4813-96a5-63fc5eb462e5,title-16068799,descr-16068799,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,43,99.37,607,2019-07-19T22:00:00.000Z,createdBy.9kerj@example.com,2010-11-16T22:00:00.000Z,modifiedBy.9kerj@example.org
16068800-cb9a-4abc-9e2c-104759272e5a,title-16068800,descr-16068800,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,93,9.52,607,2003-12-19T22:00:00.000Z,createdBy.9kerk@example.com,2009-01-29T22:00:00.000Z,modifiedBy.9kerk@example.net
16068801-d36f-4fb8-a656-3820098658a0,title-16068801,descr-16068801,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,40,48.26,607,2022-03-20T22:00:00.000Z,createdBy.9kerl@example.net,2015-06-26T22:00:00.000Z,modifiedBy.9kerl@example.net
16068802-c2c3-454c-b710-4dfc812a4326,title-16068802,descr-16068802,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,11,60.48,607,2017-01-21T22:00:00.000Z,createdBy.9kerm@example.com,2004-11-26T22:00:00.000Z,modifiedBy.9kerm@example.net
16068803-6146-4771-b02f-ce99cfbb3408,title-16068803,descr-16068803,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,33,39.21,607,2007-01-21T22:00:00.000Z,createdBy.9kern@example.org,2001-01-08T22:00:00.000Z,modifiedBy.9kern@example.org
16068804-83d0-445f-a4eb-b0ff05db16fb,title-16068804,descr-16068804,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,25,58.21,607,2019-06-11T22:00:00.000Z,createdBy.9kero@example.org,2004-07-07T22:00:00.000Z,modifiedBy.9kero@example.net
16068805-c038-496b-9b63-68aa2d99bdd7,title-16068805,descr-16068805,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,27,78.29,607,2011-10-07T22:00:00.000Z,createdBy.9kerp@example.org,2018-05-22T22:00:00.000Z,modifiedBy.9kerp@example.org
16068806-7503-40dd-b117-925b52b1b553,title-16068806,descr-16068806,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,22,35.3,607,2022-11-23T22:00:00.000Z,createdBy.9kerq@example.org,2015-01-20T22:00:00.000Z,modifiedBy.9kerq@example.com
16068807-dc6b-4a43-a24f-a24845ea5999,title-16068807,descr-16068807,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,94,77.66,607,2023-05-23T22:00:00.000Z,createdBy.9kerr@example.net,2004-05-30T22:00:00.000Z,modifiedBy.9kerr@example.net
16068808-5ee1-47b8-b8da-ef1c9b5d5d22,title-16068808,descr-16068808,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,31,73.83,607,2013-03-30T22:00:00.000Z,createdBy.9kers@example.org,2018-02-18T22:00:00.000Z,modifiedBy.9kers@example.com
16068809-d680-473f-8d4d-c93ac15a4047,title-16068809,descr-16068809,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,95,76.8,607,2011-08-22T22:00:00.000Z,createdBy.9kert@example.org,2009-02-09T22:00:00.000Z,modifiedBy.9kert@example.net
16068810-7737-4966-aa6d-46c422c46438,title-16068810,descr-16068810,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,73,44.32,607,2018-09-10T22:00:00.000Z,createdBy.9keru@example.net,2006-12-01T22:00:00.000Z,modifiedBy.9keru@example.com
16068811-8e8e-46b9-811e-a35679732710,title-16068811,descr-16068811,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,36,28.6,607,2010-12-28T22:00:00.000Z,createdBy.9kerv@example.com,2006-09-18T22:00:00.000Z,modifiedBy.9kerv@example.net
16068812-e272-4986-909f-5f444ec580e4,title-16068812,descr-16068812,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,34,30,607,2022-10-03T22:00:00.000Z,createdBy.9kerw@example.net,2016-02-20T22:00:00.000Z,modifiedBy.9kerw@example.net
16068813-0d3b-4381-a26e-62ddfcfc087f,title-16068813,descr-16068813,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,91,13.92,607,2021-11-05T22:00:00.000Z,createdBy.9kerx@example.org,2010-07-15T22:00:00.000Z,modifiedBy.9kerx@example.com
16068814-9776-493a-b248-660818efa386,title-16068814,descr-16068814,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,42,1.5,607,2007-04-26T22:00:00.000Z,createdBy.9kery@example.com,2016-06-09T22:00:00.000Z,modifiedBy.9kery@example.net
16068815-7e53-4b56-849a-75a9f53cfb93,title-16068815,descr-16068815,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,18,12.12,607,2017-09-12T22:00:00.000Z,createdBy.9kerz@example.org,2019-02-12T22:00:00.000Z,modifiedBy.9kerz@example.net
16068816-5811-4ddc-9df5-07ed244dc652,title-16068816,descr-16068816,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,34,82.99,607,2006-01-17T22:00:00.000Z,createdBy.9kes0@example.net,2018-12-28T22:00:00.000Z,modifiedBy.9kes0@example.net
16068817-8ea4-4867-8a7e-ee94b059f249,title-16068817,descr-16068817,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,43,53.75,607,2019-12-27T22:00:00.000Z,createdBy.9kes1@example.com,2008-02-05T22:00:00.000Z,modifiedBy.9kes1@example.com
16068818-a542-4d08-b60f-e6172e5f52b1,title-16068818,descr-16068818,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,53,60.23,607,2012-12-22T22:00:00.000Z,createdBy.9kes2@example.org,2001-04-13T22:00:00.000Z,modifiedBy.9kes2@example.com
16068819-b891-4240-9dee-c6f530870ce1,title-16068819,descr-16068819,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,96,27.99,607,2007-07-26T22:00:00.000Z,createdBy.9kes3@example.net,2012-12-13T22:00:00.000Z,modifiedBy.9kes3@example.com
16068820-2802-4749-a0ec-5fe3a407af3d,title-16068820,descr-16068820,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,68,40.78,607,2014-02-27T22:00:00.000Z,createdBy.9kes4@example.net,2008-08-13T22:00:00.000Z,modifiedBy.9kes4@example.org
16068821-bb92-4dce-b97a-7a03c8f3127d,title-16068821,descr-16068821,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,24,91.3,607,2013-04-03T22:00:00.000Z,createdBy.9kes5@example.net,2000-08-29T22:00:00.000Z,modifiedBy.9kes5@example.com
16068822-e2fc-4349-a57c-39f9243b9079,title-16068822,descr-16068822,22948929-1c5f-47fd-8a3d-124985aabd07,3241421,60,54.85,607,2008-07-03T22:00:00.000Z,createdBy.9kes6@example.org,2021-08-23T22:00:00.000Z,modifiedBy.9kes6@example.com
